Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl
,7.38874E+18,,Can you talk more about how to fix it,,
,7.28071E+18,,oh it's the FOR YOU page,,
,7.28309E+18,,Do you recommend some literature about this?,,
,7.2807E+18,,Sigh… I need to get back into therapy.,,
,7.31159E+18,,I have chronic shame but I also have autism so it tends to be confirmed by others 🥴,,
,7.28298E+18,,"Are you in my head 😫 , my shame OCD spiral is crippling",,
,7.36117E+18,,Thank you for this video 🥰,,
,7.36195E+18,,a video that fully describes me😩😩,,
,7.31227E+18,,Isn’t this everyone?,,
,7.28094E+18,,So well said,,
,6.94233E+18,,"Ayyyyy, get it get it, Dr. Ren!!! Legggoooo 🔥🔥🔥",,
,6.9309E+18,,🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼,,
,6.93087E+18,,Go blue! Proud to see alums as amazing as you 😁,,
,6.93103E+18,,go blue !!!,,
,6.93083E+18,,Hook ‘em!! 🥰,,
,6.93075E+18,,i can’t imagine going through that much school! you amaze me,,
,6.93102E+18,,Umich represent,,
,6.93139E+18,,im currently in a counseling PhD program and was feeling hopeless abt jobs outside of tenure track academia but this made me so happy to see!!,,
,6.95422E+18,,YOU ARE SO AWESOME!!,,
,6.93082E+18,,Yesssss Go Blue! 💙💛,,
,7.25954E+18,,Thanks I needed this so much 🤍🤍,,
,7.25922E+18,,Where did you get your shirt,,
,7.25943E+18,,loving this 🥰,,
,7.26104E+18,,"My Mil always says my kids shouldn't stomp when angry. It's ""disrespectful"" or smth... I'll absolutely let them do it from now on.",,
,7.26124E+18,,It’s their bodies / nervous systems naturally attempting to soothe. I think it’s important to teach a variety so they can have options!,,
,7.25961E+18,,i do bamboo sways literally all the time,,
,7.2594E+18,,Your content helps. Thank you.,,
,7.25976E+18,,The feeling of knowing when you did this as a child to self soothe you were scolded,,
,7.25958E+18,,Watching you do this made me a little emotional tbh,,
,7.25949E+18,,love this ❤️,,
,7.02839E+18,,I can never get past past side effects.,,
,7.02872E+18,,"I’m on LexaPro. I want to get off it, as I’m also on Seremind which is more natural",,
,7.02838E+18,,Everyone is different but my medication has saved my life,,
,7.0286E+18,,I gained 35kg due to antidepressants.. won’t ever touch that stuff again,,
,7.02831E+18,,yeah but when you're ready to jump off a skyscraper you can't wait for them effects to take place😳,,
,7.03049E+18,,"Highly addictive all of them , hundred precent. Tried and applied , there’s no need to convince me otherwise.",,
,7.03503E+18,,what if the 'side effects' are just getting worse and worse? I told my psychiatrist and she just says to take more and more pills. idk what to do...,,
,7.0292E+18,,Don’t take em,,
,7.04474E+18,,my adhd makes me forget it even with a timer,,
,7.02838E+18,,Wait I have a question - I started taking antidepressants and I had a situation where my brain new I was having panic attack but my body wasn't (1),,
,7.06865E+18,,This algorithm is wild.,,
,7.06627E+18,,"that's why I own a pistol, my escape plan. use in case of zombie apocalypse, cancer, Trump gets reelected, etc...",,
,7.0681E+18,,tiktok getting too personal 😳,,
,7.06614E+18,,Secret plan B,,
,7.49182E+18,,"I have this along with Anhedonia, it’s a side effect of being on antidepressants for 30+ years. I’m just in a constant state of blah.",,
,7.06625E+18,,"If my husband, mom and cats go first, then I'll sell everything, travel until money runs out and I'll be out too.",,
,7.06853E+18,,It’s just my ✨ sparkle ✨,,
,7.06632E+18,,"My buddy took his life in 2021. He spoke passively about it for a couple years. He got help & was doing better, or so we thought. Tragic & traumatic😢",,
,7.0665E+18,,fyp's getting more specific huh 💀💀,,
,7.07122E+18,,the fyp is getting a little to personal,,
,7.2746E+18,,Recently stopped taking my meds cause they made me physically ill. My psychiatrist said I had to choose between being physically or mentally well.,,
,7.27274E+18,,"This was my experience. Heavily medicated for having CPTSD. I wasn’t broken, I was responding to other peoples unresolved mental illness and abuse.",,
,7.27282E+18,,are you sure that's not the mania dancin' there?,,
,7.27281E+18,,"it's great to hear a psychiatrist say this, I'm tired of professionals acting like I'm refusing help when I just dont want to be a guinea pig",,
,7.27282E+18,,This is why I refused meds. 3 years of hard work on myself & I’m happier than ever ✨,,
,7.2729E+18,,"Some of us actually just don’t make enough brain chemicals, and that’s okay",,
,7.2729E+18,,This is sadly a myth that has been disproven. It’s still ok! But it’s not due to lack of brain chemicals. 💚💚💚,,
,7.27297E+18,,Exactly. Society’s structures are sick.,,
,7.27311E+18,,im actually quite proud that i experienced nearly every Form of abuse and Trauma from an early age but never needed meds To function,,
,7.27306E+18,,The only one I may disagree with you on is bipolar just because of how dangerous mania is bit I respect your pov,,
,7.4616E+18,,is it just me who came from that one video 😭,,
,7.47471E+18,,The Millenial pause 😭,,
,7.48873E+18,,anyone else see a minecraft villager,,
,7.46852E+18,,You have described my whole life since age 5. I am 53 now.,,
,7.4919E+18,,Anyone coming from the is wasn’t water video,,
,7.48023E+18,,Years of drug and alcohol abuse has numbed me to vomiting. I get it out and keep moving.,,
,7.47253E+18,,emetophobia guys here,,
,7.45358E+18,,"Yep, I’m diagnosing myself with this 😬",,
,7.46295E+18,,I’m so scared of vomiting,,
,7.45353E+18,,im literally gagging if i see someone else trow up,,
,7.3675E+18,,would love a video on habitual smokes,,
,7.36758E+18,,Will do!,,
,7.36742E+18,,Ok but what if you’re already a every day smoker and then get on Lexapro,,
,7.36776E+18,,Then there won’t be the sudden change in blood level that I discuss here if you have stable amounts of CBD entering your system.,,
,7.36738E+18,,I smoked habitually before I got on Lexapro and I never really experienced issues maybe some dosing changes but that's about it,,
,7.36738E+18,,Thanks for sharing! When the cannabis is already in your system before then it usually don’t suddenly cause a blood level change compared to if you’re stable then start smoking.,,
,7.36716E+18,,Psych NP here! Thank you for this 👌,,
,7.36717E+18,,My pleasure!,,
,7.36752E+18,,Effexor and daily cana user. THC/CBD strains. Haven’t had any issues. Working towards weening off the Effexor this year.,,
,7.38381E+18,,Wishing you the best with tapering off! Thanks for sharing!,,
,7.35864E+18,,"Can someone send me to an island? You know, for research?",,
,7.38749E+18,,What is the difference between depression and clinical depression,,
,7.36374E+18,,What a helpful comparison. Thank you!,,
,7.36382E+18,,I guess we’ll find out when I’m in Maui.,,
,7.36058E+18,,Good info 😁,,
,7.36586E+18,,See you guys in Maui then???,,
,7.37367E+18,,So I’m burnt out,,
,7.36818E+18,,"Ty for this. I’ve had ppl w/ victim mindsets claim to have depression, while telling me, someone who actually has depression, that I need to put in the effort to just go outside so I can “cheer up.”",,
,7.35911E+18,,How to persuade someone suffering long term depression to see the world differently 😳,,
,7.35866E+18,,what about both lol,,
,7.35392E+18,,it comes from a lack of purpose and belonging,,
,7.36397E+18,,How to stop thoughhhhh,,
,7.37626E+18,,The thoughts are the issue for me.,,
,7.37302E+18,,Has anyone ever had burning skin? In different body parts that spread ? Everyday,,
,7.35882E+18,,What good medication is good for this ?,,
,7.35432E+18,,Took me months to get out of that. It’s so hard 😭,,
,7.37091E+18,,Never not had that since 13🥺,,
,7.37531E+18,,anyone had rib and back pain with anxiety 🙁,,
,7.45025E+18,,"my anxiety is so bad when i start to panic, it feels like my hands are going to lock up and i can’t breath and everything hurts and my head pounds and any little sound scares me and i feel like im",,
,7.37568E+18,,Wow I’m not alone,,
,7.48251E+18,,I brought the book it made me cry and laugh great read!!!,,
,7.48221E+18,,Does it help with health anxiety? Every day I suffer so much in this cycle of torture thinking I have the c-word somewhere. Its miserable,,
,7.48467E+18,,I'm reading your book right now and I love it so much! I feel like I'm learning a lot and laugh a lot as well! thank you for that!,,
,7.48207E+18,,still haven't been able to board a plane in 20 years due to anxiety 🥲,,
,7.48208E+18,,You’ll get there. It’s usually claustrophobia and the fear of fear that prevents flying. Our latest podcast episode was on fear of flying with Dave Carbonell an expert therapist on the subject 😊,,
,7.48457E+18,,Got mine this morning 🥰,,
,7.48254E+18,,🤗🤗🤗,,
,7.48515E+18,,😁,,
,7.4821E+18,,"Thanks to Drew and you, a 7-year-old and an 11-year-old now have a father who is present and enjoying life again. No words can express how grateful I am to you both.",,
,7.48242E+18,,Oh wow. This made me smile so much. You’ve done so well! 😊,,
,7.47988E+18,,"Gary, love the content is there a specific time of day to take particular vitamins?",,
,7.47771E+18,,I don’t believe him 😏,,
,7.4782E+18,,The way my Dr looks at me when I say lemon natural ozempic 😬,,
,7.48339E+18,,Both my parent passed due to medical error,,
,7.486E+18,,❤️Help Canadians❤️,,
,7.47775E+18,,I’ll have to listen to these videos.,,
,7.48864E+18,,😎 looks like this is a job for anonimous,,
,7.48055E+18,,Our medical system needs to go back before Rockefeller got his hands on it.,,
,7.48859E+18,,first and 2nd causes of death are related to the food industry.,,
