Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl,clean_comments,tokens,tokens_no_stopwords,lemmatized,final_text
1,7.30831e+18,7.31e+18,Boleh PM akak noori utk bantuan 🤗,noori_ahlifarmasi,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,boleh pm akak noori utk bantuan,"['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']","['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']","['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']",boleh pm akak noori utk bantuan
1,7.44719e+18,7.45e+18,Maksud,muhdd_alepp,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,maksud,['maksud'],['maksud'],['maksud'],maksud
1,7.25342e+18,7.24e+18,"sama werhh,tpi tk yakin heheh",rayraingg,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,sama werhhtpi tk yakin heheh,"['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']","['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']","['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']",sama werhhtpi tk yakin heheh
1,7.25342e+18,7.24e+18,btl ii,nisss498,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,btl ii,"['btl', 'ii']","['btl', 'ii']","['btl', 'ii']",btl ii
1,7.32706e+18,7.24e+18,tu ah semua complite 😔,mariaalanie,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,tu ah semua complite,"['tu', 'ah', 'semua', 'complite']","['tu', 'ah', 'semua', 'complite']","['tu', 'ah', 'semua', 'complite']",tu ah semua complite
2,7.4651e+18,7.24e+18,I have a couple questions,skt_tuxx,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,i have a couple questions,"['i', 'have', 'a', 'couple', 'questions']","['couple', 'questions']","['couple', 'question']",couple question
2,7.46836e+18,7.27e+18,😢😔,iyana6872,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,,[],[],[],
2,7.49109e+18,7.24e+18,Yess 😭,scarl.xx25,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,yess,['yess'],['yess'],['yes'],yes
2,7.24981e+18,7.24e+18,SAMEEE. And my stomach growls as if I’m hungry. Or I feel like i need to get up,ttluvsyouuuu,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,sameee and my stomach growls as if im hungry or i feel like i need to get up,"['sameee', 'and', 'my', 'stomach', 'growls', 'as', 'if', 'im', 'hungry', 'or', 'i', 'feel', 'like', 'i', 'need', 'to', 'get', 'up']","['sameee', 'stomach', 'growls', 'im', 'hungry', 'feel', 'like', 'need', 'get']","['sameee', 'stomach', 'growl', 'im', 'hungry', 'feel', 'like', 'need', 'get']",sameee stomach growl im hungry feel like need get
2,7.23992e+18,7.24e+18,go to Raphtripper on In$tagram for guide,williamss63,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,go to raphtripper on intagram for guide,"['go', 'to', 'raphtripper', 'on', 'intagram', 'for', 'guide']","['go', 'raphtripper', 'intagram', 'guide']","['go', 'raphtripper', 'intagram', 'guide']",go raphtripper intagram guide
3,7.24431e+18,,Mines got so bad recently that I’m scared to eat incase i have a heart attack,thecommander60,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,mines got so bad recently that im scared to eat incase i have a heart attack,"['mines', 'got', 'so', 'bad', 'recently', 'that', 'im', 'scared', 'to', 'eat', 'incase', 'i', 'have', 'a', 'heart', 'attack']","['mines', 'got', 'bad', 'recently', 'im', 'scared', 'eat', 'incase', 'heart', 'attack']","['mine', 'got', 'bad', 'recently', 'im', 'scared', 'eat', 'incase', 'heart', 'attack']",mine got bad recently im scared eat incase heart attack
3,7.34177e+18,,I suffer from health anxiety and I've had cbt therapy but I'm still struggling.,fortheanimals1,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,i suffer from health anxiety and ive had cbt therapy but im still struggling,"['i', 'suffer', 'from', 'health', 'anxiety', 'and', 'ive', 'had', 'cbt', 'therapy', 'but', 'im', 'still', 'struggling']","['suffer', 'health', 'anxiety', 'ive', 'cbt', 'therapy', 'im', 'still', 'struggling']","['suffer', 'health', 'anxiety', 'ive', 'cbt', 'therapy', 'im', 'still', 'struggling']",suffer health anxiety ive cbt therapy im still struggling
3,7.40419e+18,,@Dr Ebuka Herbs 🌿 remedies @Ebuka herbal 🌿 clinic 💯🥰,elijah.obama,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,dr ebuka herbs remedies ebuka herbal clinic,"['dr', 'ebuka', 'herbs', 'remedies', 'ebuka', 'herbal', 'clinic']","['dr', 'ebuka', 'herbs', 'remedies', 'ebuka', 'herbal', 'clinic']","['dr', 'ebuka', 'herb', 'remedy', 'ebuka', 'herbal', 'clinic']",dr ebuka herb remedy ebuka herbal clinic
3,7.23814e+18,,"you said you can't think your way out of HA but actually telling yourself you're safe, that you don't need to be in control of everything 100% of the",wrathbringer2202,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,you said you cant think your way out of ha but actually telling yourself youre safe that you dont need to be in control of everything of the,"['you', 'said', 'you', 'cant', 'think', 'your', 'way', 'out', 'of', 'ha', 'but', 'actually', 'telling', 'yourself', 'youre', 'safe', 'that', 'you', 'dont', 'need', 'to', 'be', 'in', 'control', 'of', 'everything', 'of', 'the']","['said', 'cant', 'think', 'way', 'ha', 'actually', 'telling', 'youre', 'safe', 'dont', 'need', 'control', 'everything']","['said', 'cant', 'think', 'way', 'ha', 'actually', 'telling', 'youre', 'safe', 'dont', 'need', 'control', 'everything']",said cant think way ha actually telling youre safe dont need control everything
3,7.32964e+18,,🥰❤️👍,chizzy24_,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,,[],[],[],
4,7.46149e+18,7.46e+18,that he's still out there driving is a nightmare,gaillewis7,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,that hes still out there driving is a nightmare,"['that', 'hes', 'still', 'out', 'there', 'driving', 'is', 'a', 'nightmare']","['hes', 'still', 'driving', 'nightmare']","['he', 'still', 'driving', 'nightmare']",he still driving nightmare
4,7.46306e+18,7.46e+18,"Hey lovely fan,""kindly click on my current page and send me an direct message'thanks!❤",cooperalaan29,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,hey lovely fankindly click on my current page and send me an direct messagethanks,"['hey', 'lovely', 'fankindly', 'click', 'on', 'my', 'current', 'page', 'and', 'send', 'me', 'an', 'direct', 'messagethanks']","['hey', 'lovely', 'fankindly', 'click', 'current', 'page', 'send', 'direct', 'messagethanks']","['hey', 'lovely', 'fankindly', 'click', 'current', 'page', 'send', 'direct', 'messagethanks']",hey lovely fankindly click current page send direct messagethanks
4,7.4824e+18,7.46e+18,control is a massive thing of anxiety because the fear of losing control,misunderstood_dave,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,control is a massive thing of anxiety because the fear of losing control,"['control', 'is', 'a', 'massive', 'thing', 'of', 'anxiety', 'because', 'the', 'fear', 'of', 'losing', 'control']","['control', 'massive', 'thing', 'anxiety', 'fear', 'losing', 'control']","['control', 'massive', 'thing', 'anxiety', 'fear', 'losing', 'control']",control massive thing anxiety fear losing control
4,7.48134e+18,7.48e+18,I’ll be thinking of you. They are so hard to start but I’m hopeful,tay.ler22,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,ill be thinking of you they are so hard to start but im hopeful,"['ill', 'be', 'thinking', 'of', 'you', 'they', 'are', 'so', 'hard', 'to', 'start', 'but', 'im', 'hopeful']","['ill', 'thinking', 'hard', 'start', 'im', 'hopeful']","['ill', 'thinking', 'hard', 'start', 'im', 'hopeful']",ill thinking hard start im hopeful
5,7.33509e+18,7.32e+18,Found a natural way to help my anxiety- life changing 😀,lorilovebrotherton,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,found a natural way to help my anxiety life changing,"['found', 'a', 'natural', 'way', 'to', 'help', 'my', 'anxiety', 'life', 'changing']","['found', 'natural', 'way', 'help', 'anxiety', 'life', 'changing']","['found', 'natural', 'way', 'help', 'anxiety', 'life', 'changing']",found natural way help anxiety life changing
5,7.33492e+18,,"The only motivation I have left in me is for my baby , she is the only one making me feel light , because idk what I would’ve done with my thoughts , I don’t think I would be here anymore honestly",miiamurillo,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,the only motivation i have left in me is for my baby she is the only one making me feel light because idk what i wouldve done with my thoughts i dont think i would be here anymore honestly,"['the', 'only', 'motivation', 'i', 'have', 'left', 'in', 'me', 'is', 'for', 'my', 'baby', 'she', 'is', 'the', 'only', 'one', 'making', 'me', 'feel', 'light', 'because', 'idk', 'what', 'i', 'wouldve', 'done', 'with', 'my', 'thoughts', 'i', 'dont', 'think', 'i', 'would', 'be', 'here', 'anymore', 'honestly']","['motivation', 'left', 'baby', 'one', 'making', 'feel', 'light', 'idk', 'wouldve', 'done', 'thoughts', 'dont', 'think', 'would', 'anymore', 'honestly']","['motivation', 'left', 'baby', 'one', 'making', 'feel', 'light', 'idk', 'wouldve', 'done', 'thought', 'dont', 'think', 'would', 'anymore', 'honestly']",motivation left baby one making feel light idk wouldve done thought dont think would anymore honestly
5,7.40309e+18,,How we never get told what the cure is?,oceandawn7,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,how we never get told what the cure is,"['how', 'we', 'never', 'get', 'told', 'what', 'the', 'cure', 'is']","['never', 'get', 'told', 'cure']","['never', 'get', 'told', 'cure']",never get told cure
