Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl,clean_comments,tokens,tokens_no_stopwords,lemmatized,final_text
,7388739019981308702,,Can you talk more about how to fix it,,,can you talk more about how to fix it,"['can', 'you', 'talk', 'more', 'about', 'how', 'to', 'fix', 'it']","['talk', 'fix']","['talk', 'fix']",talk fix
,7280705244592898859,,oh it's the FOR YOU page,,,oh its the for you page,"['oh', 'its', 'the', 'for', 'you', 'page']","['oh', 'page']","['oh', 'page']",oh page
,7283085202870829857,,Do you recommend some literature about this?,,,do you recommend some literature about this,"['do', 'you', 'recommend', 'some', 'literature', 'about', 'this']","['recommend', 'literature']","['recommend', 'literature']",recommend literature
,7280703927628596011,,Sigh… I need to get back into therapy.,,,sigh i need to get back into therapy,"['sigh', 'i', 'need', 'to', 'get', 'back', 'into', 'therapy']","['sigh', 'need', 'get', 'back', 'therapy']","['sigh', 'need', 'get', 'back', 'therapy']",sigh need get back therapy
,7311593541738038022,,I have chronic shame but I also have autism so it tends to be confirmed by others 🥴,,,i have chronic shame but i also have autism so it tends to be confirmed by others,"['i', 'have', 'chronic', 'shame', 'but', 'i', 'also', 'have', 'autism', 'so', 'it', 'tends', 'to', 'be', 'confirmed', 'by', 'others']","['chronic', 'shame', 'also', 'autism', 'tends', 'confirmed', 'others']","['chronic', 'shame', 'also', 'autism', 'tends', 'confirmed', 'others']",chronic shame also autism tends confirmed others
,7282975215306801963,,"Are you in my head 😫 , my shame OCD spiral is crippling",,,are you in my head my shame ocd spiral is crippling,"['are', 'you', 'in', 'my', 'head', 'my', 'shame', 'ocd', 'spiral', 'is', 'crippling']","['head', 'shame', 'ocd', 'spiral', 'crippling']","['head', 'shame', 'ocd', 'spiral', 'crippling']",head shame ocd spiral crippling
,7361173661393322784,,Thank you for this video 🥰,,,thank you for this video,"['thank', 'you', 'for', 'this', 'video']","['thank', 'video']","['thank', 'video']",thank video
,7361952962186511136,,a video that fully describes me😩😩,,,a video that fully describes me,"['a', 'video', 'that', 'fully', 'describes', 'me']","['video', 'fully', 'describes']","['video', 'fully', 'describes']",video fully describes
,7312267427755361067,,Isn’t this everyone?,,,isnt this everyone,"['isnt', 'this', 'everyone']","['isnt', 'everyone']","['isnt', 'everyone']",isnt everyone
,7280935307644715822,,So well said,,,so well said,"['so', 'well', 'said']","['well', 'said']","['well', 'said']",well said
,6942329191476428806,,"Ayyyyy, get it get it, Dr. Ren!!! Legggoooo 🔥🔥🔥",,,ayyyyy get it get it dr ren legggoooo,"['ayyyyy', 'get', 'it', 'get', 'it', 'dr', 'ren', 'legggoooo']","['ayyyyy', 'get', 'get', 'dr', 'ren', 'legggoooo']","['ayyyyy', 'get', 'get', 'dr', 'ren', 'legggoooo']",ayyyyy get get dr ren legggoooo
,6930904529706074118,,🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼,,,,[],[],[],
,6930865456740548614,,Go blue! Proud to see alums as amazing as you 😁,,,go blue proud to see alums as amazing as you,"['go', 'blue', 'proud', 'to', 'see', 'alums', 'as', 'amazing', 'as', 'you']","['go', 'blue', 'proud', 'see', 'alums', 'amazing']","['go', 'blue', 'proud', 'see', 'alum', 'amazing']",go blue proud see alum amazing
,6931034774819618821,,go blue !!!,,,go blue,"['go', 'blue']","['go', 'blue']","['go', 'blue']",go blue
,6930833922885189637,,Hook ‘em!! 🥰,,,hook em,"['hook', 'em']","['hook', 'em']","['hook', 'em']",hook em
