Keyword,Similarity Score
"[('anxiety feel', 0.6967), ('lightheadedness dizziness', 0.5035), ('contracting palpitation', 0.2616), ('shortness', 0.0824), ('gon', 0.0475)]",0.68400407
"[('depressed depression', 0.5894), ('hurt know', 0.2095), ('changed unrecognizable', 0.0895), ('energy checking', 0.0708), ('email voicemail', 0.0367)]",0.65625346
"[('depression depression', 0.659), ('understand youre', 0.1791), ('battle invisible', 0.1735), ('inconvenience weighing', 0.1309), ('complicated snap', 0.0462)]",0.65545976
"[('symptom depression', 0.6793), ('energia people', 0.2609), ('jaleel', 0.1983), ('energy level', 0.1852), ('focus education', 0.0659)]",0.6490245
"[('symptom stress', 0.524), ('decreased', 0.251), ('social isolation', 0.1747), ('gain weight', 0.1653), ('matter good', 0.1418)]",0.6489142
"[('symptom overthinking', 0.5548), ('core brain', 0.2698), ('leaving angry', 0.2165), ('isolates cutting', 0.1774), ('ready', 0.0303)]",0.64838445
"[('depressive symptom', 0.6781), ('linger unconscious', 0.2191), ('helpful protect', 0.0848), ('process unresolved', 0.0585), ('automatically resurfaces', 0.0216)]",0.6455365
"[('social anxiety', 0.7341), ('judged micromanage', 0.3044), ('opinion dont', 0.1748), ('gradual', 0.1281), ('overcompensate develop', 0.1202)]",0.64455163
"[('depression', 0.5353), ('change sleep', 0.3481), ('energy difficulty', 0.2042), ('thats arm', 0.1997), ('theyre lead', 0.1515)]",0.64414185
"[('health anxiety', 0.5981), ('sensation number', 0.3504), ('hospital check', 0.2445), ('activity trapped', 0.2033), ('think youre', 0.1315)]",0.6428298
"[('anxiety shortness', 0.5111), ('stop sweating', 0.337), ('stomach th', 0.2969), ('hand shaking', 0.2407), ('night rd', 0.0604)]",0.64270484
"[('dealing depression', 0.6028), ('need people', 0.2669), ('lose connection', 0.1384), ('tend lean', 0.0221), ('isolative important', -0.0274)]",0.6418655
"[('delusionally depressed', 0.6504), ('people talking', 0.1657), ('tone persecutory', 0.1579), ('matter exist', 0.1422), ('tend common', 0.0412)]",0.64163494
"[('sign depression', 0.6531), ('distinguish adhd', 0.504), ('memory problem', 0.2542), ('middle night', 0.1465), ('thats obvious', 0.1)]",0.6415235
"[('tip therapist', 0.4504), ('health anxiety', 0.4095), ('break pattern', 0.2176), ('inner state', 0.115), ('wont need', 0.0779)]",0.6411742
